Commodity,country,Total_Value,rank
GLASS AND GLASSWARE.,BERMUDA,0.0,114
GLASS AND GLASSWARE.,TIMOR LESTE,0.0,114
GLASS AND GLASSWARE.,BARBADOS,0.0,114
GLASS AND GLASSWARE.,ST KITT N A,0.0,114
GLASS AND GLASSWARE.,LAO PD RP,0.0,114
GLASS AND GLASSWARE.,GUADELOUPE,0.0,114
GLASS AND GLASSWARE.,TURKMENISTAN,0.0,114
GLASS AND GLASSWARE.,TURKS C IS,0.0,114
GLASS AND GLASSWARE.,BAHAMAS,0.0,114
GLASS AND GLASSWARE.,PAPUA N GNA,0.0,114
GLASS AND GLASSWARE.,KYRGHYZSTAN,0.0,114
GLASS AND GLASSWARE.,ERITREA,0.0,114
GLASS AND GLASSWARE.,ARUBA,0.0,114
GLASS AND GLASSWARE.,KOREA DP RP,0.0,114
GLASS AND GLASSWARE.,SOUTH SUDAN,,115
GLASS AND GLASSWARE.,BR VIRGN IS,,115
GLASS AND GLASSWARE.,VANUATU REP,,115
GLASS AND GLASSWARE.,C AFRI REP,,115
GLASS AND GLASSWARE.,MACEDONIA,,115
GLASS AND GLASSWARE.,MARSHALL ISLAND,,115
GLASS AND GLASSWARE.,TONGA,,115
GLASS AND GLASSWARE.,CHAD,,115
GLASS AND GLASSWARE.,ST LUCIA,,115
GLASS AND GLASSWARE.,NORFOLK IS,,115
GLASS AND GLASSWARE.,TAJIKISTAN,,115
GLASS AND GLASSWARE.,UNSPECIFIED,,115
GLASS AND GLASSWARE.,DOMINICA,,115
GLASS AND GLASSWARE.,VENEZUELA,,115
GLASS AND GLASSWARE.,MONGOLIA,,115
GLASS AND GLASSWARE.,GIBRALTAR,,115
